ZipCode,all_crime,prop_crime,viol_crime,viol_prop,oth_crime,in_crime,zcta,mhhinc,dpov,npov,pop,nhw,poc,in_ACS,placenm,zipname,pop10,afact,in_xwalk,all_crimerate,viol_crimerate,prop_crimerate,violprop_crimerate,pct_povt,rank_povt,rank_allcrime,rank_violprop,rank_povt2,rank_violprop2,PovtCrimeScore,rank_PovtCrimeScore,streetlight_cases,in_streetlight
92014,241,159,19,178,63,1,92014,155531,13545,533,13568,10886,2682,1,"San Diego city, CA","San Diego, CA",7145,0.5432,1,17.762382075,1.4003537736,11.71875,13.119103774,0.0393503138,0,3,3,4,24,28,1,107,1
92037,585,378,90,468,117,1,92037,109194,37963,3594,38168,27828,10340,1,"San Diego city, CA","San Diego, CA",46781,1,1,15.326975477,2.3579962272,9.9035841543,12.261580381,0.0946711272,2,2,3,15,23,38,2,306,1
92101,4614,1863,1158,3021,1593,1,92101,71925,38963,6391,41159,24188,16971,1,"San Diego city, CA","San Diego, CA",37095,1,1,112.10184893,28.134794334,45.263490367,73.398284701,0.1640274106,3,4,4,27,35,62,4,1150,1
92102,751,356,161,517,234,1,92102,51744,43686,9335,44010,9745,34265,1,"San Diego city, CA","San Diego, CA",43267,1,1,17.064303567,3.6582594865,8.0890706658,11.747330152,0.2136840178,4,3,3,30,22,52,3,289,1
92103,951,552,198,750,201,1,92103,78720,34119,2961,34700,23523,11177,1,"San Diego city, CA","San Diego, CA",31066,1,1,27.406340058,5.7060518732,15.90778098,21.613832853,0.0867844896,1,4,4,12,30,42,3,385,1
92104,891,580,139,719,172,1,92104,67668,45406,4992,45435,22927,22508,1,"San Diego city, CA","San Diego, CA",44414,1,1,19.610432486,3.0593155057,12.76548916,15.824804666,0.1099414174,2,3,3,20,27,47,3,496,1
92105,1043,554,228,782,261,1,92105,43282,73094,19647,73623,9463,64160,1,"San Diego city, CA","San Diego, CA",69813,1,1,14.166768537,3.0968583187,7.524822406,10.621680725,0.268790872,4,2,2,34,17,51,3,250,1
92106,293,185,51,236,57,1,92106,103840,18258,1095,20155,14634,5521,1,"San Diego city, CA","San Diego, CA",19330,1,1,14.537335649,2.5303894815,9.1788638055,11.709253287,0.0599737102,1,2,2,8,21,29,1,261,1
92107,684,238,122,360,324,1,92107,85299,30023,2706,31223,24126,7097,1,"San Diego city, CA","San Diego, CA",28651,1,1,21.906927585,3.9073759728,7.6225859142,11.529961887,0.0901308996,1,3,2,13,20,33,2,214,1
92108,1308,888,209,1097,211,1,92108,75296,22250,2917,22280,12239,10041,1,"San Diego city, CA","San Diego, CA",18858,1,1,58.707360862,9.3806104129,39.856373429,49.236983842,0.1311011236,3,4,4,23,34,57,4,184,1
